img_path;count
data\train\images\0.tif;130
data\train\images\1.tif;53
data\train\images\10.tif;46
data\train\images\100.tif;65
data\train\images\1000.tif;97
data\train\images\10000.tif;633
data\train\images\10001.tif;479
data\train\images\10002.tif;289
data\train\images\10003.tif;380
data\train\images\10004.tif;523
data\train\images\10005.tif;394
data\train\images\10006.tif;297
data\train\images\10007.tif;440
data\train\images\10008.tif;670
data\train\images\10009.tif;165
data\train\images\1001.tif;184
data\train\images\10010.tif;993
data\train\images\10011.tif;551
data\train\images\10012.tif;476
data\train\images\10013.tif;425
data\train\images\10014.tif;315
data\train\images\10015.tif;252
data\train\images\10016.tif;406
data\train\images\10017.tif;349
data\train\images\10018.tif;302
data\train\images\10019.tif;418
data\train\images\1002.tif;186
data\train\images\10020.tif;323
data\train\images\10021.tif;220
data\train\images\10022.tif;400
data\train\images\10023.tif;557
data\train\images\10024.tif;460
data\train\images\10025.tif;435
data\train\images\10026.tif;991
data\train\images\10027.tif;381
data\train\images\10028.tif;187
data\train\images\10029.tif;203
data\train\images\1003.tif;67
data\train\images\10030.tif;172
data\train\images\10031.tif;323
data\train\images\10032.tif;341
data\train\images\10033.tif;207
data\train\images\10034.tif;264
data\train\images\10035.tif;396
data\train\images\10036.tif;338
data\train\images\10037.tif;375
data\train\images\10038.tif;213
data\train\images\10039.tif;92
data\train\images\1004.tif;68
data\train\images\10040.tif;375
data\train\images\10041.tif;428
data\train\images\10042.tif;295
data\train\images\10043.tif;113
data\train\images\10044.tif;374
data\train\images\10045.tif;668
data\train\images\10046.tif;765
data\train\images\10047.tif;703
data\train\images\10048.tif;356
data\train\images\10049.tif;471
data\train\images\1005.tif;106
data\train\images\10050.tif;448
data\train\images\10051.tif;431
data\train\images\10052.tif;135
data\train\images\10053.tif;398
data\train\images\10054.tif;381
data\train\images\10055.tif;324
data\train\images\10056.tif;193
data\train\images\10057.tif;470
data\train\images\10058.tif;299
data\train\images\10059.tif;83
data\train\images\1006.tif;183
data\train\images\10060.tif;838
data\train\images\10061.tif;277
data\train\images\10062.tif;342
data\train\images\10063.tif;238
data\train\images\10064.tif;413
data\train\images\10065.tif;483
data\train\images\10066.tif;311
data\train\images\10067.tif;430
data\train\images\10068.tif;323
data\train\images\10069.tif;608
data\train\images\1007.tif;77
data\train\images\10070.tif;559
data\train\images\10071.tif;821
data\train\images\10072.tif;278
data\train\images\10073.tif;274
data\train\images\10074.tif;266
data\train\images\10075.tif;501
data\train\images\10076.tif;349
data\train\images\10077.tif;235
data\train\images\10078.tif;233
data\train\images\10079.tif;226
data\train\images\1008.tif;185
data\train\images\10080.tif;323
